Year,Make,Model,Mileage,Price,Drive,Engine,Trim,Exterior_color,Interior_color,Location,Accidents
2020,Acura,TLX,2930,29352.0,FWD,2.4L Inline-4,2.4L FWD with Technology Package,Black,Beige,"Knoxville, TN",0
2017,Acura,TLX,28150,20065.0,FWD,3.5L V-6,V6 FWD,Gray,Gray,"Duluth, GA",1
2017,Acura,TLX,22114,17750.0,FWD,2.4L Inline-4,I4 FWD,White,Brown,"Chicago, IL",0
2017,Acura,TLX,51691,17988.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Gray,Beige,"Morrow, GA",0
2019,Acura,TLX,8239,33995.0,SH-AWD,3.5L V-6,3.5L SH-AWD with A-Spec Package,Red,Unknown,"Oakland, CA",0
2017,Acura,TLX,35557,21893.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Gray,"Reading, PA",0
2019,Acura,TLX,14755,29995.0,FWD,3.5L V-6,3.5L FWD with A-Spec Package,Blue,Black,"Simi Valley, CA",0
2017,Acura,TLX,46774,17295.0,FWD,2.4L Inline-4,I4 FWD,Silver,Black,"Simi Valley, CA",0
2018,Acura,TLX,35178,25595.0,FWD,3.5L V-6,3.5L FWD,Unknown,Black,"Van Nuys, CA",0
2017,Acura,TLX,32502,21594.0,FWD,3.5L V-6,V6 FWD with Technology Package,Silver,Black,"Sherman Oaks, CA",0
2017,Acura,TLX,37041,20000.0,FWD,3.5L V-6,V6 FWD,Black,Black,"Pasadena, CA",0
2017,Acura,TLX,46657,17000.0,FWD,2.4L Inline-4,I4 FWD,Black,Black,"Pasadena, CA",0
2017,Acura,TLX,22698,19987.0,FWD,2.4L Inline-4,I4 FWD,White,Black,"Duarte, CA",0
2017,Acura,TLX,27724,18989.0,FWD,2.4L Inline-4,I4 FWD,Gray,Black,"Duarte, CA",0
2015,Acura,TLX,49300,15789.0,FWD,3.5L V-6,V6 FWD with Technology Package,Black,Unknown,"Los Angeles, CA",0
2017,Acura,TLX,9184,16999.0,FWD,2.4L Inline-4,I4 FWD,Unknown,Unknown,"Azusa, CA",0
2017,Acura,TLX,39309,17299.0,FWD,2.4L Inline-4,I4 FWD,White,Gray,"Azusa, CA",0
2016,Acura,TLX,5416,20999.0,FWD,3.5L V-6,V6 FWD with Technology Package,White,Black,"Azusa, CA",1
2015,Acura,TLX,44362,15499.0,FWD,2.4L Inline-4,FWD with Technology Package,White,Gray,"Azusa, CA",0
2017,Acura,TLX,30975,,FWD,3.5L V-6,V6 FWD,Silver,Black,"West Covina, CA",0
2017,Acura,TLX,39731,16899.0,FWD,2.4L Inline-4,I4 FWD,Black,Black,"West Covina, CA",1
2017,Acura,TLX,26600,18099.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,White,Brown,"West Covina, CA",0
2018,Acura,TLX,36748,26099.0,SH-AWD,3.5L V-6,3.5L SH-AWD with A-Spec Package,Gray,Black,"West Covina, CA",1
2017,Acura,TLX,22105,17967.0,FWD,2.4L Inline-4,I4 FWD,Red,Beige,"Inglewood, CA",0
2018,Acura,TLX,36737,21999.0,FWD,2.4L Inline-4,2.4L FWD,White,Black,"Los Angeles, CA",0
2020,Acura,TLX,5971,29995.0,FWD,2.4L Inline-4,2.4L FWD,Gray,Black,"Montclair, CA",0
2017,Acura,TLX,46420,20868.0,FWD,3.5L V-6,V6 FWD with Technology Package,Black,Brown,"Montclair, CA",0
2018,Acura,TLX,10115,,FWD,2.4L Inline-4,2.4L FWD with Technology Package,White,Unknown,"Montclair, CA",0
2016,Acura,TLX,50072,16899.0,FWD,3.5L V-6,V6 FWD,White,Black,"Montclair, CA",0
2017,Acura,TLX,15709,17099.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Black,Black,"Montclair, CA",1
2017,Acura,TLX,42990,17499.0,FWD,3.5L V-6,V6 FWD with Technology Package,White,Black,"Montclair, CA",1
2018,Acura,TLX,17801,23888.0,FWD,2.4L Inline-4,2.4L FWD,Silver,Gray,"Montclair, CA",0
2015,Acura,TLX,46767,16499.0,FWD,2.4L Inline-4,FWD,Blue,Unknown,"Montclair, CA",0
2016,Acura,TLX,46332,15099.0,FWD,3.5L V-6,V6 FWD,Gray,Black,"Montebello, CA",2
2017,Acura,TLX,35195,17099.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Black,Black,"Montebello, CA",0
2017,Acura,TLX,24798,15899.0,FWD,2.4L Inline-4,I4 FWD,Gray,Beige,"Montebello, CA",1
2019,Acura,TLX,9426,21099.0,FWD,2.4L Inline-4,2.4L FWD,Gray,Black,"Montebello, CA",1
2015,Acura,TLX,113423,12850.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Gray,"Montclair, CA",0
2015,Acura,TLX,79638,14995.0,FWD,2.4L Inline-4,FWD,Blue,Unknown,"Rialto, CA",0
2019,Acura,TLX,7705,28495.0,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,Unknown,Black,"Fontana, CA",0
2018,Acura,TLX,25976,22995.0,FWD,3.5L V-6,3.5L FWD,White,Beige,"Fontana, CA",0
2016,Acura,TLX,85000,14990.0,FWD,2.4L Inline-4,FWD,White,Black,"Lawndale, CA",0
2017,Acura,TLX,20071,18099.0,FWD,3.5L V-6,V6 FWD with Technology Package,Black,Brown,"Colton, CA",1
2017,Acura,TLX,44432,16499.0,FWD,3.5L V-6,V6 FWD,Unknown,Black,"San Bernardino, CA",1
2019,Acura,TLX,7307,34484.0,FWD,3.5L V-6,3.5L FWD with Advance Package,Black,Unknown,"Cerritos, CA",0
2020,Acura,TLX,4162,29598.0,FWD,2.4L Inline-4,2.4L FWD with Technology Package,Silver,Black,"Cerritos, CA",0
